Program Digit,Zip_Code_Addr_CAD,,0
F,14216,January,2983.0
F,14216,February,2960.0
F,14216,March,2938.0
F,14216,April,2941.0
F,14216,May,2926.0
F,14216,June,2894.0
F,14216,July,2875.0
F,14216,August,2863.0
F,14216,September,2915.0
F,14216,October,2936.0
F,14216,November,2927.0
F,14216,December,2943.0
M,14212,January,2619.0
M,14212,February,2654.0
M,14212,March,2696.0
M,14212,April,2731.0
M,14212,May,2751.0
M,14212,June,2769.0
M,14212,July,2781.0
M,14212,August,2789.0
M,14212,September,2802.0
M,14212,October,2797.0
M,14212,November,2846.0
M,14212,December,2870.0
H,14207,January,1620.0
H,14207,February,1726.0
H,14207,March,1914.0
H,14207,April,2011.0
H,14207,May,2098.0
H,14207,June,2239.0
H,14207,July,2379.0
H,14207,August,2464.0
H,14207,September,2462.0
H,14207,October,2652.0
H,14207,November,2752.0
H,14207,December,2868.0
F,14202,January,2577.0
F,14202,February,2561.0
F,14202,March,2565.0
F,14202,April,2554.0
F,14202,May,2478.0
F,14202,June,2480.0
F,14202,July,2546.0
F,14202,August,2659.0
F,14202,September,2690.0
F,14202,October,2778.0
F,14202,November,2863.0
F,14202,December,2845.0
H,14225,January,1742.0
H,14225,February,1843.0
H,14225,March,1991.0
H,14225,April,2046.0
H,14225,May,2108.0
H,14225,June,2190.0
H,14225,July,2293.0
H,14225,August,2357.0
H,14225,September,2352.0
H,14225,October,2493.0
H,14225,November,2604.0
H,14225,December,2743.0
F,14226,January,2740.0
F,14226,February,2783.0
F,14226,March,2794.0
F,14226,April,2856.0
F,14226,May,2814.0
F,14226,June,2775.0
F,14226,July,2742.0
F,14226,August,2729.0
F,14226,September,2740.0
F,14226,October,2744.0
F,14226,November,2752.0
F,14226,December,2731.0
H,14206,January,1717.0
H,14206,February,1812.0
H,14206,March,1933.0
H,14206,April,1991.0
H,14206,May,2023.0
H,14206,June,2127.0
H,14206,July,2248.0
H,14206,August,2311.0
H,14206,September,2300.0
H,14206,October,2527.0
H,14206,November,2595.0
H,14206,December,2718.0
M,14201,January,2511.0
M,14201,February,2537.0
M,14201,March,2534.0
M,14201,April,2539.0
M,14201,May,2513.0
M,14201,June,2523.0
M,14201,July,2533.0
M,14201,August,2567.0
M,14201,September,2582.0
M,14201,October,2600.0
M,14201,November,2603.0
M,14201,December,2611.0
F,14075,January,2613.0
F,14075,February,2652.0
F,14075,March,2656.0
F,14075,April,2690.0
F,14075,May,2604.0
F,14075,June,2578.0
F,14075,July,2561.0
F,14075,August,2541.0
F,14075,September,2527.0
F,14075,October,2555.0
F,14075,November,2604.0
F,14075,December,2600.0
F,14228,January,2579.0
F,14228,February,2580.0
F,14228,March,2558.0
F,14228,April,2547.0
F,14228,May,2527.0
F,14228,June,2536.0
F,14228,July,2516.0
F,14228,August,2526.0
F,14228,September,2542.0
F,14228,October,2582.0
F,14228,November,2602.0
F,14228,December,2580.0
M,14218,January,2384.0
M,14218,February,2414.0
M,14218,March,2406.0
M,14218,April,2447.0
M,14218,May,2451.0
M,14218,June,2471.0
M,14218,July,2499.0
M,14218,August,2511.0
M,14218,September,2506.0
M,14218,October,2511.0
M,14218,November,2527.0
M,14218,December,2544.0
F,14227,January,2436.0
F,14227,February,2415.0
F,14227,March,2456.0
F,14227,April,2474.0
F,14227,May,2459.0
F,14227,June,2443.0
F,14227,July,2412.0
F,14227,August,2420.0
F,14227,September,2463.0
F,14227,October,2501.0
F,14227,November,2493.0
F,14227,December,2528.0
M,14150,January,2389.0
M,14150,February,2355.0
M,14150,March,2358.0
M,14150,April,2364.0
M,14150,May,2379.0
M,14150,June,2389.0
M,14150,July,2407.0
M,14150,August,2423.0
M,14150,September,2449.0
M,14150,October,2464.0
M,14150,November,2488.0
M,14150,December,2502.0
F,14224,January,2495.0
F,14224,February,2514.0
F,14224,March,2546.0
F,14224,April,2558.0
F,14224,May,2522.0
F,14224,June,2479.0
F,14224,July,2455.0
F,14224,August,2424.0
F,14224,September,2450.0
F,14224,October,2483.0
F,14224,November,2499.0
F,14224,December,2456.0
F,14217,January,2515.0
F,14217,February,2528.0
F,14217,March,2553.0
F,14217,April,2538.0
F,14217,May,2496.0
F,14217,June,2483.0
F,14217,July,2462.0
F,14217,August,2452.0
F,14217,September,2459.0
F,14217,October,2461.0
F,14217,November,2472.0
F,14217,December,2446.0
H,14150,January,1602.0
H,14150,February,1668.0
H,14150,March,1772.0
H,14150,April,1832.0
H,14150,May,1852.0
H,14150,June,1926.0
H,14150,July,2020.0
H,14150,August,2086.0
H,14150,September,2075.0
H,14150,October,2216.0
H,14150,November,2305.0
H,14150,December,2404.0
P,14215,January,2702.0
P,14215,February,2658.0
P,14215,March,2639.0
P,14215,April,2541.0
P,14215,May,2473.0
P,14215,June,2388.0
P,14215,July,2363.0
P,14215,August,2290.0
P,14215,September,2285.0
P,14215,October,2393.0
P,14215,November,2444.0
P,14215,December,2384.0
M,14214,January,2174.0
M,14214,February,2194.0
M,14214,March,2236.0
M,14214,April,2245.0
M,14214,May,2230.0
M,14214,June,2232.0
M,14214,July,2261.0
M,14214,August,2277.0
M,14214,September,2331.0
M,14214,October,2339.0
M,14214,November,2344.0
M,14214,December,2361.0
M,14225,January,2246.0
M,14225,February,2261.0
M,14225,March,2272.0
M,14225,April,2294.0
M,14225,May,2291.0
M,14225,June,2282.0
M,14225,July,2278.0
M,14225,August,2308.0
M,14225,September,2317.0
M,14225,October,2320.0
M,14225,November,2349.0
M,14225,December,2351.0
H,14213,January,1460.0
H,14213,February,1502.0
H,14213,March,1575.0
H,14213,April,1696.0
H,14213,May,1768.0
H,14213,June,1856.0
H,14213,July,1963.0
H,14213,August,2032.0
H,14213,September,2026.0
H,14213,October,2177.0
H,14213,November,2240.0
H,14213,December,2314.0
M,14208,January,2065.0
M,14208,February,2061.0
M,14208,March,2081.0
M,14208,April,2128.0
M,14208,May,2117.0
M,14208,June,2160.0
M,14208,July,2206.0
M,14208,August,2220.0
M,14208,September,2220.0
M,14208,October,2217.0
M,14208,November,2259.0
M,14208,December,2271.0
M,14204,January,2068.0
M,14204,February,2087.0
M,14204,March,2140.0
M,14204,April,2152.0
M,14204,May,2163.0
M,14204,June,2178.0
M,14204,July,2186.0
M,14204,August,2187.0
M,14204,September,2212.0
M,14204,October,2216.0
M,14204,November,2205.0
M,14204,December,2214.0
F,14043,January,2242.0
F,14043,February,2213.0
F,14043,March,2238.0
F,14043,April,2207.0
F,14043,May,2184.0
F,14043,June,2117.0
F,14043,July,2058.0
F,14043,August,2045.0
F,14043,September,2070.0
F,14043,October,2105.0
F,14043,November,2138.0
F,14043,December,2165.0
M,14210,January,2047.0
M,14210,February,2054.0
M,14210,March,2061.0
M,14210,April,2070.0
M,14210,May,2077.0
M,14210,June,2098.0
M,14210,July,2099.0
